index,MovieID,Title,MPAA_Rating,Budget,Gross,Release_Date,Genre,Runtime,Rating,Rating_Count
597,598,The Upside,PG-13,37500000,122800000,2019-01-11,Comedy,126,7,53788
598,599,John Wick: Chapter 3 - Parabellum,R,75000000,321700000,2019-05-09,Thriller,131,7.4,317091
599,600,It: Chapter Two,R,79000000,394000000,2019-08-26,Horror,169,6.5,241068
600,601,The Secret Life of Pets 2,PG,80000000,429400000,2019-05-24,Animation,86,6.5,58544
601,602,Once Upon a Time in Hollywood,R,96000000,345900000,2019-05-21,Comedy,161,7.6,662866
602,603,The LEGO Movie 2: The Second Part,PG,99000000,191300000,2019-02-07,Animation,107,6.6,62105
603,604,Shazam!,PG-13,100000000,365000000,2019-03-15,Action,132,7,306540
604,605,How to Train Your Dragon: The Hidden World,PG,129000000,519900000,2019-01-03,Animation,104,7.5,118928
605,606,Pokemon Detective Pikachu,PG,150000000,431600000,2019-05-03,Mystery,104,6.6,153771
606,607,Spider-Man: Far from Home,PG-13,160000000,1131000000,2019-06-26,Action,129,7.4,432661
607,608,Dumbo,PG,170000000,353000000,2019-03-11,Adventure,112,6.3,72540
608,609,Captain Marvel,PG-13,175000000,1128000000,2019-02-27,Action,124,6.8,514079
609,610,Aladdin,PG,183000000,1049000000,2019-05-08,Fantasy,128,6.9,251542
610,611,Godzilla: King of the Monsters,PG-13,200000000,385900000,2019-05-13,Adventure,132,6,171744
611,612,Toy Story 4,G,200000000,1062000000,2019-06-11,Animation,100,7.7,230845
612,613,Fast & Furious Presents: Hobbs & Shaw,PG-13,200000000,759400000,2019-07-13,Thriller,136,6.5,200751
613,614,The Lion King,PG,250000000,1632000000,2019-07-09,Drama,118,6.8,232396
614,615,Tenet,PG-13,200000000,58460000,2020-08-12,Science Fiction,150,7.4,154206
